time,point
1577443885.0960631, [  529.5892094    -121.14072859  -388.15500927] 
1577443885.1267278, [1398.36286517  -194.31880188    -65.57755748] 
1577443885.1563988, [1254.73817208    -95.58191993      95.51615761] 
1577443885.187803, [1168.13945696    -51.20641402    157.70389604] 
1577443885.2156475, [1050.43519308        3.04507304    193.6094728  ] 
1577443885.246426, [977.00315984    39.97038331  213.79720656] 
1577443885.3077798, [838.64990464    95.63732105  203.4549864  ] 
1577443885.3390095, [693.90216955  136.06288879  163.8547721  ] 
1577443885.3685112, [594.11801439  163.77686823  128.73275481] 
1577443885.3996027, [475.90768951  196.81350019    77.88755048] 
1577443885.4309947, [383.90514255  227.54737595    29.10768289] 
1577443885.811692, [-156.34030626    332.57054577  -211.44257013] 
1577443886.1252644, [-252.36116723    248.41752217  -172.619241    ] 
1577443897.5742173, [1737.49173761    332.21228974    237.75790607] 
1577443897.7036815, [1661.9999477      345.82902973    262.54449818] 
1577443897.7364256, [1671.86542786    319.65135986    300.53896422] 
1577443897.8007812, [1639.00481555    281.61324107    251.3221298  ] 
1577443897.8629782, [1648.05603915    225.10968849    313.65660905] 
1577443897.8948884, [1650.95550695    207.08354035    320.20426574] 
1577443897.9271867, [1632.61840858    206.47226076    254.90696358] 
1577443897.9558625, [1586.33269364    333.00470465    344.9500277  ] 
1577443897.987002, [1633.96012562    188.78861383    257.66749249] 
1577443898.0178542, [1578.62102393    318.95358839    348.16869415] 
1577443898.078221, [1640.20851029    175.65761817    275.45970393] 
1577443898.686975, [1760.74144237    -12.64146122    141.13823158] 
1577443899.0338776, [1820.88611582  -197.17672018      29.54054154] 
1577443899.3943675, [1924.74756703  -313.22461282      80.87524656] 
1577443899.808426, [1903.04461933  -215.93013326    138.10641064] 
1577443899.9068444, [1905.90217827  -205.7018974      106.77317749] 
1577443899.998416, [1956.23287054  -488.50628482    364.27881485] 
1577443900.0615916, [1964.26661503  -510.82168903    336.17031764] 
1577443900.0950024, [1973.46080612  -591.6838675      315.08315115] 
1577443900.1595945, [1964.36242002  -557.50076681    340.20367687] 
1577443900.1939552, [1918.72449775  -542.15032353    496.61783186] 
1577443900.3220046, [1284.64414546    360.62515459  -112.47910659] 
1577443900.3537838, [1261.25700005    343.80710634    -88.37246036] 
1577443900.3858023, [1245.88353892    354.74357397    -53.4887188  ] 
1577443900.417841, [1179.99348031    338.67382013    -82.97328497] 
1577443900.770965, [1852.95136221  -529.79250606      12.10035478] 
1577443900.8036366, [1867.73955236  -544.02405082      88.53485009] 
1577443900.8358836, [1883.60838925  -617.75699577      33.93495715] 
1577443900.8681362, [1839.72631718  -537.49414354      13.82510803] 
1577443900.9300432, [  1.81734452e+03  -5.26164513e+02    3.95135581e-01] 
1577443900.9615943, [1881.1566193    -593.66782563      73.86283012] 
1577443901.0849557, [1846.45176862  -546.49341778        9.008129    ] 
1577443901.209562, [1872.4172344    -566.50220512      16.58830896] 
1577443901.2705016, [1904.82973693  -570.5398516        40.34359889] 
1577443901.3336034, [1860.27308851  -540.78922704    559.27880903] 
1577443901.4255443, [1910.74172862  -845.3759936      480.54598819] 
1577443901.5830631, [1950.35839711  -710.2302198      392.81916792] 
1577443901.679796, [1925.43297949  -503.3758637      468.14316732] 
1577443901.7422419, [1942.37411898  -684.88885871    470.38805897] 
1577443901.7739847, [1943.93413636  -759.55303249    453.65987906] 
1577443901.8064709, [1928.58365622  -491.57010446    459.99083836] 
1577443901.9339387, [1938.86887083  -711.12778844    477.62751035] 
1577443901.9664853, [1933.50914823  -645.12560312    499.17888388] 
1577443901.9975266, [1947.94087503  -618.48308007    416.77111762] 
1577443902.123406, [1928.34332929  -439.26677433      45.57434272] 
1577443902.1547797, [1937.65761858  -636.45250642    441.91043223] 
1577443902.2175715, [1920.8302846    -731.75222567    509.88323316] 
1577443902.3769155, [1920.10376011  -748.85757584    505.41377768] 
1577443902.5451539, [1928.15488623  -782.93397086    479.9489808  ] 
1577443902.642666, [1928.83775065  -754.43251532    488.31617805] 
1577443903.3049982, [1942.24726009  -835.35663102    462.06465408] 
1577443904.033012, [1945.16452147  -829.13102668    450.24202592] 
1577443908.0191355, [1935.34809573  -835.94014321    482.72193891] 
1577443909.4635334, [1939.09544907  -537.60979337    385.41302609] 
1577443910.352789, [1919.60216612  -736.49590405    492.78577863] 
1577443910.7158809, [1934.04900793  -647.29269925    433.53702038] 
1577443910.7887855, [1937.29497424  -590.98606659    408.15472672] 
1577443910.9345589, [1915.82647271  -670.47133452    511.58283784] 
1577443910.9680786, [1905.01338568  -438.91686418    487.85960889] 
1577443911.0088017, [1916.59572992  -609.5948818      511.90521281] 
1577443911.04484, [1868.5691391    -413.24864816    601.92327346] 
1577443911.082665, [1915.50480987  -598.09207076    515.45868342] 
1577443911.3196528, [1906.35386691  -564.63874094    553.66209333] 
1577443911.351914, [1934.04052308  -623.40583221    421.70817763] 
1577443911.3837934, [1912.41744148  -707.37659875    501.84166328] 
1577443912.8205197, [1971.65328919  -767.52043279    347.5086717  ] 
