time,point
1577167918.7236762, [305,  319,  1721] 
1577167918.775424, [305,  320,  1749] 
1577167918.8627143, [305,  319,  1710] 
1577167918.9927597, [301,  319,  1702] 
1577167919.0366018, [301,  320,  1740] 
1577167919.080521, [302,  320,  1735] 
1577167919.1287057, [302,  320,  1738] 
1577167919.221874, [302,  320,  1750] 
1577167919.268189, [303,  319,  1728] 
1577167919.3143618, [302,  320,  1749] 
1577167919.363947, [303,  319,  1725] 
1577167919.412358, [302,  319,  1717] 
1577167919.4648156, [302,  319,  1713] 
1577167919.5132766, [302,  319,  1717] 
1577167919.5599163, [303,  319,  1714] 
1577167919.607838, [34,  328,  2434] 
1577167919.6555712, [303,  319,  1712] 
1577167919.702516, [302,  319,  1709] 
1577167919.7493918, [300,  319,  1708] 
1577167919.7946193, [302,  319,  1713] 
1577167919.8425584, [301,  319,  1731] 
1577167919.8903003, [302,  319,  1714] 
1577167919.9362931, [302,  319,  1719] 
1577167919.981863, [303,  319,  1721] 
1577167920.0288968, [302,  319,  1722] 
1577167920.0753598, [302,  319,  1745] 
1577167920.1215224, [303,  319,  1739] 
1577167920.167544, [302,  319,  1740] 
1577167920.2122843, [302,  318,  1706] 
1577167920.260568, [302,  318,  1709] 
1577167920.3063154, [302,  318,  1709] 
1577167920.354718, [302,  319,  1716] 
1577167920.4024477, [302,  318,  1711] 
1577167920.4510152, [303,  318,  1711] 
1577167920.4977899, [302,  319,  1722] 
1577167920.544511, [302,  318,  1714] 
1577167920.59233, [302,  319,  1722] 
1577167920.6399035, [302,  319,  1720] 
1577167920.6852043, [304,  318,  1716] 
1577167920.7312164, [303,  318,  1715] 
1577167920.7777598, [302,  319,  1716] 
1577167920.8245099, [302,  318,  1714] 
1577167920.8696215, [302,  318,  1714] 
1577167920.917683, [302,  318,  1716] 
1577167920.9638846, [303,  319,  1741] 
1577167921.010469, [303,  318,  1725] 
1577167921.056022, [302,  318,  1718] 
1577167921.101458, [303,  319,  1713] 
1577167921.1507277, [302,  319,  1720] 
1577167921.200027, [302,  318,  1719] 
1577167921.2466655, [302,  318,  1717] 
1577167921.2937007, [302,  319,  1745] 
1577167921.3395472, [303,  319,  1730] 
1577167921.385827, [302,  319,  1710] 
1577167921.4336414, [303,  319,  1719] 
1577167921.4796982, [302,  318,  1715] 
1577167921.5242765, [303,  318,  1719] 
1577167921.5702183, [302,  318,  1717] 
1577167921.6150541, [302,  318,  1722] 
1577167921.6609812, [302,  318,  1720] 
1577167921.7064645, [303,  319,  1725] 
1577167921.75417, [302,  318,  1719] 
1577167921.8010705, [302,  318,  1717] 
1577167921.8476892, [302,  318,  1723] 
1577167921.892194, [302,  318,  1726] 
1577167921.9393938, [302,  318,  1720] 
1577167921.9884968, [302,  318,  1722] 
1577167922.0361977, [302,  318,  1725] 
1577167922.0850735, [302,  318,  1725] 
1577167922.1315129, [302,  318,  1729] 
1577167922.1809933, [302,  318,  1727] 
1577167922.228037, [303,  319,  1732] 
1577167922.275721, [305,  318,  1727] 
1577167922.3216565, [302,  318,  1724] 
1577167922.3673885, [302,  318,  1720] 
1577167922.4149024, [302,  318,  1718] 
1577167922.4644403, [302,  319,  1724] 
1577167922.5093548, [302,  318,  1713] 
1577167922.5559812, [303,  319,  1711] 
1577167922.6029816, [303,  318,  1719] 
1577167922.6506224, [302,  319,  1735] 
1577167922.6971574, [302,  318,  1716] 
1577167922.744726, [302,  318,  1718] 
1577167922.7913868, [303,  319,  1726] 
1577167922.8359168, [302,  318,  1716] 
1577167922.8837726, [302,  318,  1720] 
1577167922.9279757, [303,  319,  1722] 
1577167922.975598, [302,  318,  1714] 
1577167923.0215793, [302,  318,  1713] 
1577167923.067951, [302,  318,  1713] 
1577167923.117561, [303,  319,  1720] 
1577167923.1651247, [302,  318,  1721] 
1577167923.2117035, [302,  319,  1729] 
1577167923.2592928, [302,  318,  1727] 
1577167923.3052773, [303,  319,  1728] 
1577167923.352399, [302,  318,  1721] 
1577167923.3991113, [303,  318,  1723] 
1577167923.4456005, [302,  318,  1721] 
1577167923.495469, [302,  318,  1721] 
1577167923.5395355, [302,  318,  1721] 
1577167923.58566, [303,  318,  1723] 
1577167923.63274, [302,  318,  1725] 
1577167923.6792278, [302,  318,  1727] 
1577167923.725291, [302,  318,  1724] 
1577167923.7711987, [303,  319,  1726] 
1577167923.819915, [302,  318,  1722] 
1577167923.868859, [303,  318,  1726] 
1577167923.9156778, [302,  318,  1723] 
1577167923.9623368, [302,  319,  1724] 
1577167924.008137, [303,  319,  1724] 
1577167924.054025, [303,  319,  1727] 
1577167924.1000783, [302,  318,  1721] 
1577167924.145348, [303,  318,  1726] 
1577167924.1899855, [302,  318,  1705] 
1577167924.2346587, [302,  318,  1736] 
1577167924.2792668, [302,  318,  1729] 
1577167924.3243806, [302,  318,  1723] 
1577167924.3705964, [302,  319,  1704] 
1577167924.4193492, [302,  318,  1717] 
1577167924.4648087, [302,  318,  1723] 
1577167924.5113044, [302,  319,  1742] 
1577167924.555621, [302,  318,  1714] 
1577167924.6000464, [302,  318,  1716] 
1577167924.6439784, [302,  318,  1717] 
1577167924.690805, [302,  318,  1721] 
1577167924.7361326, [302,  318,  1723] 
1577167924.7807937, [302,  318,  1720] 
1577167924.8255098, [303,  318,  1722] 
1577167924.8714883, [302,  318,  1721] 
1577167924.9159365, [302,  318,  1721] 
1577167924.9603758, [302,  318,  1723] 
1577167925.0042884, [302,  318,  1726] 
1577167925.0494316, [302,  318,  1725] 
